,場所,スコア,口コミ
140,博多駅総合案内所,3.2,博多の観光に迷ったらまずここに寄れば解決すると思います。パンフレットなども豊富で自分で旅のプランを立てるときのヒントも得られます。
141,博多駅総合案内所,4.3,博多駅にある観光案内所です、到着してすぐ訪れました。丁寧に教えていただき、スムーズに観光することができました。
142,博多駅総合案内所,4.2,今日もたくさんの人たちでいっぱいでした。並ぶことには慣れていますので問題はありません。観光地などの事もわかりやすく、丁重にありがたく思います。
143,博多駅総合案内所,3.9,ＪＲ博多駅内のコンコースにあり、行先についてあまり知らないときは、こちらでパンフレット等の情報を入手できます。毎回行く必要はないと思いますが、場所を知っておくと便利だと思います。
144,博多駅総合案内所,4.2,博多を初めて訪れた際に利用した観光案内所です。たくさんの観光地がある博多の地を、旅行者の年代や希望に合わせて、おすすめのスポットを丁寧に教えてくれます。グルメ情報なども豊富で、とても役立ちました。
145,博多駅総合案内所,4.1,新幹線で博多駅に到着後にこちらを訪れました。周辺のおススメな観光地やグルメスポットなどスタッフの方がご丁寧に教えて下さいました。
146,博多駅総合案内所,4.1,ここは博多駅構内にある観光案内所です。新幹線で博多駅に着いたら観光を始める前にまずここに行くのがおすすめです。
147,博多駅総合案内所,4.1,観光の際迷った時に、利用しました。海外の観光客で混んでいましたが、丁寧に説明して頂けました。
148,博多駅総合案内所,4.1,JR博多駅の構内にあり かなり大きな総合案内所で博多の情報を中心にパンフレットが充実しています。みどりの窓口のようで海外からの観光客も多く いつも賑わっていると思います。
149,博多駅総合案内所,4.1,JR博多駅構内にある観光案内所です。大きいターミナル駅だけあってスタッフの方の対応もてきぱきとされていましｔ。
150,キャナルシティ博多,3.2,福岡土産を購入したり、夜もイルミネーションが綺麗で素敵な場所ですー。ややさびれた感もありますが、行ってみる価値はあります。
151,キャナルシティ博多,4.3,博多駅からも近い複合施設で中央に流れる運河（キャナル）を中心にショップ、アミューズメント施設、レストランやホテルがありました。広場では噴水ショーやイベントが行われており、雰囲気も楽しめるスポットだと思います。
152,キャナルシティ博多,4.2,久々に訪れました。今回は泰元さんでお昼を頂きました。他にも飲食店もたくさんあるので選択肢が多いです。地下フロアと上の階にも分かれていますし、クレープやたこ焼きなどおやつも揃っています。買い物もサンリオショップやジャンプショップ、アパレルもたくさん入っていて服からグッズまで何でもあります。映画館やゲーセンもあるので、時間つぶしに困ることもありません。お土産屋さんもあるので旅行のお土産もここで済ませられます！
153,キャナルシティ博多,3.9,宿の近くにあり、雰囲気最高のショッピングモールで、自分が良く行くAVIREXが有り、品揃えが湘南よりいい感じで良かったです。
154,キャナルシティ博多,4.2,リニューアル中などお店が閉まっていたり案内図もわかりにくく色々諦めて帰る所でした。途中で映像等の案内図を発見してお店を見つける事ができました。
155,キャナルシティ博多,4.1,色々なジャンルのショップが入っているので家族みんな楽しめます。無料で噴水のレーザーショーがあったり、美味しいスイーツや可愛い雑貨、面白い雑貨　韓国雑貨に娘は大喜びでした。どうして一蘭のラーメンはあんなに高いのかは理解できませんが、サイゼリヤでお腹いっぱい食べました。家族みんなのお気に入りのモールです。
156,キャナルシティ博多,4.1,何回訪れても、何とも言えない雰囲気を漂わせています。違う異次元の世界に、引き寄せられた気持ちであふれてしまいます。
157,キャナルシティ博多,4.1,駅から直結で、屋台からも近くて、無料噴水ショー感動しました。無料のクオリティではないレベルです。わりとどこからでも見れるのでそこも良かったです
158,キャナルシティ博多,4.1,１年ぶりに行ったら好きな店がほぼなくなってた…どうやら近くに商業施設ができ人気店は移ったようです。なんかとてもさみしい気持ちになりGAPでも見ようと入りましたが、こちらももうすぐ撤退するような雰囲気でした。修学旅行生とアジア系外国人がちらほらで、地元の方は少なかったです。でも飲食店は賑わってました。
159,キャナルシティ博多,4.1,今までアクセスが不便でしたが、新駅ができていて博多駅からのアクセスがよくなり、便利になりました。館内から駅への通路がわかりにくく、ホームにつながるエレベーターに行列ができていました。
160,キャナルシティ博多,3.2,駅からは離れていますが　商店街を通って行ったら退屈しませんでした。お店は多いのですが、ショップがどこにあるかわからず、地図を見ても迷ってしまったり‥。噴水のショーは音が大きいですが、とても綺麗でした。
161,キャナルシティ博多,4.3,キャナルシティーにてキン肉マングレートに出会えました。とってもかっこよかったです。ほかの超人たちにも出会いたかったです。
162,キャナルシティ博多,4.2,出張の合間で立ち寄りました。平日昼間は空いていて、上の階には食事処がいっぱいあり、次いくときは是非ここでご飯を食べたいと思いました。
163,キャナルシティ博多,3.9,たまたま寄った時間帯に、噴水ショーがやっていました。複合施設で衣食住に関する様々なお店が入っており、ショッピングで訪れるならかなり便利かも。
164,キャナルシティ博多,4.2,また、噴水ショーを見にきました。何度見てもあきない！キャナルシティ内にあるラーメンスタジアムで何か食べようかと思いましたが、時間が微妙だったのでやめました。
165,キャナルシティ博多,4.1,theFIRSTスラムダンク映画の主題歌、第ゼロ弾の曲に乗せてのダンシング！噴水が生き生きしてて、見てて楽しかったです。録画しました！
166,キャナルシティ博多,4.1,噴水ショーやイルミネーションとかいつも何かイベントをしているイメージです。テナントのお店は少しずつ変わってるのでたまには行かないと
167,キャナルシティ博多,4.1,トマトラーメンが美味しいです。スープが絶品。癖になる美味しさ。なんとなく横浜のラーメン博物館と似てるかな
168,キャナルシティ博多,4.1,何年ぶりに行きましたが、懐かしさと建物が古さを感じさせない清潔な感じがありました。時間ごとに始まる噴水ショーが迫力があり、夏の暑さに涼を感じさせる素晴らしいものでした。子供達は映画を見たり、買い物をしたりで、駐車場代もあまりかからず満足でした。
169,キャナルシティ博多,4.1,主人に付き合って、プロレスのイベントに行きました。キャナルの２か所であっていて、２時間くらいはゆっくり楽しめました。久しぶりのキャナルで、随分変わっていましたが、噴水や音楽もベンチで休みながら楽しめました。お笑い芸人のイベントも３０分くらい偶然見られて良かったです。
170,シーサイドももち海浜公園,3.2,リゾート感あふれる建物と白い砂浜。曇った冬の空と海。１月の冬の海だったし、天気が悪くて視界が良くなかったが、能古島（のこのしま）が遠くに見えた。
171,シーサイドももち海浜公園,4.3,早朝の浜辺をゆっくり歩きたかったのですが、世界水泳の高飛び込みの設営で入れず残念！！7月のTV観戦します。
172,シーサイドももち海浜公園,4.2,某歌手の歌詞に出てくる百道浜には20年以上憧れがあり、やっと行けました。とても天気の良い日で、ゆっくり過ごせました。
173,シーサイドももち海浜公園,3.9,福岡タワーがランドマークで、博多湾に面した人工の海浜公園。公園内には海に浮かぶショッピングモール、マリゾンも在ってリゾート気分が味わえます。
174,シーサイドももち海浜公園,4.2,デートや子供との遊びスポットにも。ドームもタワーもあって、夜になるとキラキラして綺麗！天神からも近くて、街並みからすぐに海を感じれる場所。ただ、ちょっぴり海が汚いので夏には泳ぐ方々もいらっしゃいますが、ここで泳ぐのはあまりオススメ出来ないです。
175,シーサイドももち海浜公園,4.1,夏に行ったことはないが、春でも人がいて海辺を散策するだけでも良さそう。マリゾン、福岡タワーなど他の見所もあり、楽しいところ。
176,シーサイドももち海浜公園,4.1,キレイな海を眺めながら、ゆったりとした時間が過ごせます。週末には多く人が集まり、賑やかな雰囲気があります。
177,シーサイドももち海浜公園,4.1,福岡タワーから見えたので行ってきました。きれいな浜辺でした。ここから、海の中道行きの高速船が出ていました。20分くらいみたいです。
178,シーサイドももち海浜公園,4.1,すごく綺麗なところで周りにもアイスクリームやかき氷、またBBQもありのんびりできる所でした！すごく良かったです！
179,シーサイドももち海浜公園,4.1,当然のことながら、夏は多くの人でにぎわう場所です。福岡市内からのアクセスは、もっとも良い海水浴場かもしれません。海水浴シーズン以外でも、海辺を散策するだけで十分気持ちがいいと思います。福岡タワーや、ヤフオクドームからも近く、都会的な雰囲気の海浜公園です。
180,シーサイドももち海浜公園,3.2,夏だったのですが、海水浴場もオープンしていて老若男女問わずたくさんの人々で賑わっていて、シーズンずらしてまた行ってみたいです。
181,シーサイドももち海浜公園,4.3,海沿いなので、海風がとても勢いありますが公園でリフレッシュできるので、よくウォーキングしてる人を見かけます。
182,シーサイドももち海浜公園,4.2,よく散歩コースとして行きますが、海風を感じながらの朝の散歩は快適でして、夏場は海水浴もあるので特にたくさんの方々で賑わいます。
183,シーサイドももち海浜公園,3.9,周りにはお店もあり、散策には楽しいスポットです。海も綺麗でした。行ったのが冬場だったので人も少なく、海を眺めるのには良かったです。
184,シーサイドももち海浜公園,4.2,福岡市街にある海岸です。福岡にはいくつか海岸はありますが、一番アクセスしやすいのではないでしょうか。それだけに人が多く、騒がしくはありますが、マリゾンなど綺麗な建物もあり、素敵な雰囲気でした。
185,シーサイドももち海浜公園,4.1,福岡タワーが綺麗に眺めることが出来ました。また海浜公園で綺麗な砂浜を眺めて、ジョギングをしている人もいて、ゆったりと出来ます。
186,シーサイドももち海浜公園,4.1,海も近くなのでリフレッシュできて、ヤフオクドームでのイベント帰りに寄りましたが、とても静かな場所でウォーキングしてる方々がたくさん居ました。
187,シーサイドももち海浜公園,4.1,福岡タワーの近くに広がる綺麗なビーチです。風が気持ちよく、バックに高層ビルが見えて、ロケーションも秀逸です。福岡の中心部からそんなに離れていないのですが、これだけの素敵な海の光景を見ることができますので、やっぱり福岡の街っていいなと思いました。
188,シーサイドももち海浜公園,4.1,福岡タワーがとてもきれいで夜に行くときれいな夜景を見ることができます。海の近くで潮風が心地いいです。
189,シーサイドももち海浜公園,4.1,福岡タワーに登った後、タワーから見下ろして気になった海浜を散策しました。シーサイドももち海浜公園と呼ばれているようでした。ジョギングやウォーキングしている方々も見かけ、市民の憩いの場となっているようでした。
190,門司港レトロ地区,3.2,門司港駅自体がとてもレトロで素敵です。その駅の前にアインシュタインが泊まったホテルも移設され、とても綺麗な街並みができています。名物の焼きカレーも美味しいので食べてください。
191,門司港レトロ地区,4.3,やや遅い時間でしたので人混みもあまりなくちょうどよかったです。駅も含めてレトロ感満載でした。次回は昼間に行きたいものです。
192,門司港レトロ地区,4.2,昔の街並みを再現していて、（建屋の中はないです笑）子供も楽しそうに過ごしていました。たまたま立ち寄っただけなのですが、行って良かったと思いました。人形が結構リアルでした
193,門司港レトロ地区,3.9,門司港レトロ地区には多くの歴史的建造物が並びますが、門司港の駅舎が一番素晴らしいと思いました。こんな立派な美しい駅舎は見た事が無い、大正時代初期の創建ですがさすが国の重要文化財に初めて指定されただけの事はあります。
194,門司港レトロ地区,4.2,門司港駅から徒歩圏内に旧三井倶楽部（整備中）、旧大阪商船ビル、旧門司税関、旧大連航路上屋などの歴史的建造物が現存しており、港側を散策すれば関門海峡、関門大橋を見渡せます。遊覧船乗り場近くにはお土産さんやレストランがたくさん入っている海峡プラザがあります。そしてやたらと焼きカレー屋さんが多いです。オシャレなカフェ、ホテル、展望タワー、九州鉄道記念館と1日散策できる観光地です。ちょっと足を延ばせば和布刈り公園、渡船に乗れば5分で下関の唐戸市場にも行けます。土日はイベントも多く、さらに人が集まる人気観光地です。
195,門司港レトロ地区,4.1,今年の４月桜の四季に訪れましたが〜港で沢山の船が往来する景色を見ていると何だか時間が立つのも忘れるくらい素敵な場所なので小倉に宿泊してましたが２日間門司港を堪能しましたね門司港レトロ駅素敵な建物でしたね!また訪れたいと思います!
196,門司港レトロ地区,4.1,散歩がてら関門海峡やフリーマーケット　桟橋を見て行くとゆっくりとした時間を過ごせます　門司港駅を出て直ぐなのでJR利用も有りです
197,門司港レトロ地区,4.1,夜、一人での散策、星も見えて久しぶりにゆっくりすることができました。また行って見たい観光地の一つです。
198,門司港レトロ地区,4.1,小学5年の男を連れて行ったんですが、レトロの雰囲気を楽しんでは無かったですがスタバもファミマもレトロ色で良かったです。目の前に噴水があってそこで遊んでました。港も近くにあって、ロケーションは最高です。またトロッコ列車もあるので子供連れても十分付き合ってくれます。家族でいい思い出になる場所だと思います
199,門司港レトロ地区,4.1,レトロな雰囲気漂う「門司港レトロ」です。景色を楽しんだり、食事をしたり、お土産を買ったりと、門司を満喫できる観光スポットです。写真：2019年11月よっちん撮影）「門司港レトロ」
200,リバーウォーク北九州,3.2,小倉城から紫川の河川敷をゆっくりと散策。古風な橋もありTOTOもあり、2時間くらい楽しめました。朝の散歩にはもってこい、ジョキングしている人もいました。
201,リバーウォーク北九州,4.3,キャナルシティと同じ設計のところだったでしょうか？街中に急に現れるユニークな配色デザインのエリア、それはリバーウォークです。劇場などもある複合施設で周辺散策もしやすい空間です
202,リバーウォーク北九州,4.2,ＪＲ西小倉駅から徒歩5分、紫川のほとりにあるショッピングモールです。八坂神社や小倉城も目の前。上階には映画館や美術館レストラン、下の階には、洋服や、１００均、スーパー、喫茶店、果物屋など、あらゆるお店が揃っていて、お買い物が楽しいです。今はハロウィーン仕様になっていました。来月辺りには、クリスマス用のディスプレイになるかと思います。
203,リバーウォーク北九州,3.9,これからも良質の演劇をご提供ください。期待しています。吉田鋼太郎さん、金子大地さん、最高です。またいきたい。
204,リバーウォーク北九州,4.2,小倉城越し見る小倉のリバーウォーク北九州、対照的な新旧の建物が違和感なく調和している景色は素晴らしい。勝山公園含め道路一本、川一筋で繁華街と文化施設を明確に美しく区分けしている都市も珍しい。
205,リバーウォーク北九州,4.1,リバーウォークには噴水が２箇所あり、昼間は子供達がはしゃいでいます。昼から夕方にかけては、食事や買い物で人出も多いかと思います。夕方になると、紫川・リバーウォーク・小倉城井筒屋が素晴らしいコントラストを描きます。食事の後にブラブラと景色も楽しんでみてください。
206,リバーウォーク北九州,4.1,だんだんお店が少ない（あるいは入れ替わっている）感がありますが、少し夜遅くまで空いているスポットで、喫茶店（スターバックス）や飲食店で落ち着けるときがある場所です。美術館などがその効果を出しているのかもしれません。
207,リバーウォーク北九州,4.1, 小倉城の濠端にある、総合商業施設です。沢山のお店が入っています。イベントも開催されているようです。
208,リバーウォーク北九州,4.1,ＪＲ西小倉駅から徒歩5分の所にあるショッピングモール。お買い物が楽しいです。洋服や、100均、スーパーなどが入っています。
209,リバーウォーク北九州,4.1,小倉城帰りに立ち寄りましたが、ちょうどクリスマスツリーが飾られていて、ツリーの高さに驚きつつ、光の音楽祭もしてたので、感動してきました。洋服を買いに行きましたが、少し安くなってて、お得でした。
210,リバーウォーク北九州,3.2,　小倉の中心街で、イルミネーションが行われています。ここ以外にも小倉城がライトアップされていたり、駅前の広場でもイルミネーションが行われていました。
211,リバーウォーク北九州,4.3,夜のライトアップが素晴らしい。お城と庭園の周りの散策にはお店も沢山あってぴったりです。夜と朝も行きましたが、朝もビルに映るお城も見て面白かったです。
212,リバーウォーク北九州,4.2,小倉のイルミネーション見物に出かけました。ショッピングモール内には、北九州最大級のツリーが飾られ、大変美しいです。
213,リバーウォーク北九州,3.9,リバーウォーク内の北九州芸術劇場での舞台鑑賞で訪れました。２度目でしたが小倉は福岡よりもコアな劇団が舞台を行ってすごいと思います。劇団を大切にしてくれるのかな、コロナ禍での舞台でしたが劇団の気遣いやスタッフさんの気遣いがひしひしと伝わりました。ロビーからの眺めも最高！とにかくよい劇場です。リバーウォーク内の食事は、時期が悪かったのか閉店している店が目立ち、残念でした。
214,リバーウォーク北九州,4.2,お買い物をしたかったのですが、早々に息子(2歳)に噴水の遊び場が見つかり、急遽上着のみ脱いで水遊びさせました。着替え一式を持っていたのでびしゃびしゃになって遊んでもらいました。噴水は二箇所あり、どちらでも遊びましたが、1〜2歳児用と、おにいちゃんおねえちゃん用なのかな、という感じの激し目の噴水と、と言った様子でした。しっかり遊べて無料なので嬉しかったです。地下には有料ですが、室内遊園地がありそちらでも遊びました。途中退出もできるので、ご飯を食べにでたりできましま。一日中遊べると思います。
215,リバーウォーク北九州,4.1,4月に訪問した際には、閉まっているお店が何軒もありましたが、今回はどこも開店していて、買い物を楽しむことができました。売り切れていることが多く、在庫があるかどうか不安でした。ＣＡＮ　ＤＯのエリップスのトリートメントのピンク。売っていたので、買い占めました。
216,リバーウォーク北九州,4.1,小倉城と紫川に挟まれているショッピングモールです。土曜に一人で訪問しました。ご時世で、多くのお店は閉まっていましたが、スーパー、八百屋、キャンドウ、ドラッグストアなどは開いていて、買い物ができました。外のベンチに座って、小倉城と桜を眺めることもできました。
217,リバーウォーク北九州,4.1,ＪＲ小倉駅からは歩いて２０分ほど、小倉城のそばにある新しいショッピングモールい行ってきました。１１月の訪問でしたが大きなクリスマスツリーが飾られ多くの人でにぎわっていました。クリスマス気分を一足早く味わうことができました。
218,リバーウォーク北九州,4.1,西小倉駅から徒歩で5分ほど、駅から近いし分かりやすかったです。商業施設で映画館、美術館、それに舞台もあり、まさに子どもから大人まで楽しめる施設だと思います。食事をする店が22時すぎには閉まっているのは残念。少し遅くまで開いていてくれたらよいのに。観劇のあと、22時以降にも食事できれば助かったのですが。
219,リバーウォーク北九州,4.1,西小倉駅から徒歩５分。何でも揃うショピングモールです。ＧＡＰで洋服を見て、ＣＡＮ　ＤＯを覗いて１階へ。新しい文房具屋がオープンしていました。「piccolo」フリクションペンが半額だったので購入しました。付箋になる糊も。メイン広場には、大きなツリーが飾られ、クリスマス気分でした。
220,道の駅 うきは,3.2,時間が遅めだったので売り切れが多かったですが、傷有り桃がとてもお得でした！一箱（8個程度）で1600円。とてもおいしかったです!
221,道の駅 うきは,4.3,お土産を買いました。原鶴のホテルから、近く帰りに寄る事が出来て便利でした。桃とコーン。味も最高でした、
222,道の駅 うきは,4.2,原鶴温泉の帰りは　必ず朝イチ　道の駅うきは　春夏秋冬常に旬のみずみずしいフルーツ満載ね道の駅　おもわずトランクいっぱい購入して満足ですが　惣菜　お弁当が少しさみしいかなでも　福岡では一番です
223,道の駅 うきは,3.9,道の駅うきは　福岡県うきは市浮羽町山北７２９−２ピオーネソフトクリームそして現在はこちらで、かかしコンクールが12/1迄開催されてました。好きな作品を一つ投票して抽選で、うきはの特産物がプレゼントされるらしいですよ。　道の駅では梨が終わりかけていて、ミカンや柿が沢山売られてました。是非とも行かれてみてください。
224,道の駅 うきは,4.2,こちらのお店の外で売ってあるたこ焼きは、安くて美味しいです。最近は何でも物価高で、値上がりしてますが、こちらは良心的なお値段で頑張っておられます。マヨネーズなどもサービスでついてます。
225,道の駅 うきは,4.1,パーレンス小野屋の帰り利用　野菜の豊富さに大変満足　クルマいっぱいになるぐらい購入してしまいました　ただひとつだけ　希望は　うどんの美味しい地域なんでうどんコーナー　持ち帰り用もあればうれしいですね
226,道の駅 うきは,4.1,私の曖昧な記憶だと、改装されて、トイレがキレイになっていましたここのsoftcremは、お勧めです値段は、高めだけど
227,道の駅 うきは,4.1,野菜果物など安くて良いものたくさんありました。いちご美味しかったです。1800円の積み木も安いと思い買いましたが、良い品でした。地域クーポンも使えます。
228,道の駅 うきは,4.1,原鶴温泉の帰りは必ず　利用　今回も美味しいもの　思わず購入　帰りのトランクいっぱいになりました　フルーツ　野菜　お米　やっぱり福岡一番です
229,道の駅 うきは,4.1,ウキはといえばやはり、たくさんのフルーツがとてもお安く変える事です。うちは年がら年中箱買いをしますが美味しくてすぐに食べてしまいます。
230,道の駅 うきは,3.2,しばらく工事中だったトイレが新しくなっていました。使いやすいです。トイレの奥に展望台らしいものが出来ています。そこはまだ工事中でした。
231,道の駅 うきは,4.3,午前中に行きましたが駐車場はいっぱいでした。中に入ると人が結構いました。野菜や果物やお菓子等ならんでいました。くだものやおかしややさいをかってかえりました。
232,道の駅 うきは,4.2,果物の種類も豊富に揃えてあり、ツィ買い過ぎしてしまいました､椎茸乾物も豊富で正月用にもオススメですね。柴もお安く購入出来ました。ワンコも周りで散歩出来て嬉しそうです。
233,道の駅 うきは,3.9,産地の新鮮野菜が、すごくお手ごろなお値段で売ってあります。お店は広々として買い物しやすくおすすめの道の駅ですよ。
234,道の駅 うきは,4.2,子どもを連れて行きました。野菜も果物も豊富で、惣菜やデザートもアイテムがたくさん。おいしい食べ物をたくさん買うことができます。子どもたちも大興奮でした。
235,道の駅 うきは,4.1,柿の季節で沢山の柿が並べてありました。柿の種類も色々あり、あまりに大きくてきれいだったのでお土産にでも買っていこうと、どれを買うか思い迷ったのですが、紙にシャキシャキ感を味わって下さいと書いてある大秋という柿に決めました。普段からあまり柿は好みではなかったので、家庭用には大きな柿の３個入りを買ってみました。それが今まで味わったことがないくらいの美味しさで、さすが浮羽までは遠いので、翌週久留米まで、用で行くことがあり道の駅くるめまで行って、大秋を箱買いで買ってきました。旅行で道の駅うきはに寄ったことで美味しい柿に出会えました。
236,道の駅 うきは,4.1,柿の時期で、たくさん色んな種類の柿があり、どれがいいのか迷いましたが、シャキシャキ感が美味しいと書いてあったので、初めて買ってみたのが大秋というものでした。あまり柿は今まで好みではなかったので、わざわざ買ってまで食べることがなかったのですが、美味しい！と、初めて思いました。翌週、久留米に行くことがあったので、久留米道の駅にはあるだろうと思い、浮羽で買った量の倍は買ってきました。浮羽の道の駅での、美味しい柿に出会ったことが思い出です。
237,道の駅 うきは,4.1,朝、９時前に到着するようにいつも行きます！本当に季節により果物や野菜が豊富で美味しいです！お中元、お歳暮の発送を目的の１つで通ってます！ちょっとしたお土産として買っていくのですが、あげた方は、いつも喜んでくれます！しかし、いつも賑わっています！マスク、消毒を徹底してくださいね
238,道の駅 うきは,4.1,もう、かれこれ5年、通ってます！新鮮なやさい！甘くて美味しい果物。日本人には欠かせない美味しいお米。ここには沢山、美味しいものがあり、大変嬉しいし、買い過ぎてしまうのが困ります　笑笑
239,道の駅 うきは,4.1,至るところの県外ナンバーの車が続々と来ています。新鮮で品数も多く、レジはいつもごった返しています。惣菜やお弁当などもたくさん販売していて、毎回好きなものを買って見晴らしの良いベンチに座って食べています。
240,太宰府市観光案内所,3.2,同世代の非常に上品な女性の方でした。説明内容も良くわかり、前回、家族で訪れた時に気が付かなかった場所も沢山あり、1時間という時間があっという間に過ぎ、非常にためになった観光となりました。
241,太宰府市観光案内所,4.3, 私鉄の駅にあります。この駅は、太宰府天満宮の参道入口にもなります。かなり便利な場所です。参道の商品も教えて貰えます。
242,太宰府市観光案内所,4.2,案内書の方が、凄く親切で、丁寧に教えて下さいました。九州弁のアクセントを聞くと、凄く味わいがあり、何とも言えない気持ちにかられました。
243,太宰府市観光案内所,3.9,"西鉄太宰府駅と二日市駅ではレンタサイクルの貸し出しを行っています。料金は１日500円、電動アシスト付き自転車は１日1,000円です。太宰府駅か二日市駅で借りて、この２駅の他、都府楼前駅でも返却可能です。この自転車を借りて、水城の方まで行こうと計画をしていたのですが、案内所で尋ねると年末年始は貸し出していないとのことでした。Web上の太宰府市の観光案内では「年中無休」と「年末年始の駅業務多忙期には休業する場合があります。」の２通りの記載がありました。私たちが利用しようとしたのは2018年12月ですので、営業に変更があるかもしれませんが、年末年始に利用されるときは事前に確認された方がいいと思います。レンタサイクル以外では観光パンフレットや地図をいただいて、たいへん役立ちました。"
244,太宰府市観光案内所,4.2,駅にあるので利用しやすいです。また、観光地の周り方やオススメスポットなども教えて頂けたので大変効率よく楽しく観光できました。
245,太宰府市観光案内所,4.1,西鉄太宰府駅構内に太宰府市観光案内所があり、太宰府市内観光する前に立ち寄りました。太宰府天満宮や大宰府政庁跡、坂本八幡宮、竈門神社、九州国立博物館など観光パンフや観光マップなどを入手することができとても助かりました。また、スタッフの方にも的確なアドバイスを戴いてスムーズに大宰府市内観光をすることができました。
246,太宰府市観光案内所,4.1,西鉄大宰府駅の改札を出てすぐの場所にある太宰府市の観光案内所です。とてもコンパクトな案内所でしたが、観光情報に関する資料やパンフレットなど、たくさん置いてありました。大宰府天満宮に外国人観光客が多いためか外国語のパンフレットも充実しているのも目に付きました。ここで戴いた観光マップは非常にわかり易く大宰府観光に大いに役立ちました。
247,太宰府市観光案内所,4.1,福岡から太宰府まではちょっと距離がありましたが、以前にも来た事のある太宰府天満宮まで足を伸ばしてみました。こちらの案内所も変わらずで良かったです。
248,太宰府市観光案内所,4.1,僕は太宰府観光の情報がほぼないまま太宰府入りしたので、かなり参考になりました。しかし、ここで情報を手に入れるのもいいですが、先に情報を手に入れておいたほうが良いでしょう
249,太宰府市観光案内所,4.1,太宰府駅の観光案内所です。丁寧に教えていただけたので、その後スムーズに観光することができ、とてもたすかりました。
250,太宰府市観光案内所,3.2,太宰府に来たのは何度目かにはなりますが、いつ来ても観光案内所にはたくさんの人が来られていますね。まさに太宰府の玄関口という感じです。
251,太宰府市観光案内所,4.3,西鉄太宰府駅にあるので、場所がわかりやすいです。地域のイベント行事等ネットではすぐ見つけにくいこと等も直接尋ねることができるので、便利だと思います。
252,太宰府市観光案内所,4.2,太宰府駅の構内にある観光案内所で、こちらで美味しいグルメスポットを教えていただきました。パンフレット類がたくさんあり、とても参考になりました。
253,太宰府市観光案内所,3.9,太宰府駅構内にある観光案内所です。周辺のレストランなどの情報や、テーマパークのチラシなどが充実しており、スタッフの方も対応も丁寧で印象がよかったです。
254,太宰府市観光案内所,4.2,太宰府の観光スポットはもちろん、そこへの交通手段やバスの時刻まで調べてくれました。とても助かりました。
255,太宰府市観光案内所,4.1,太宰府天満宮くらいしか知らずに大宰府に行きましたが、この案内所に美味しいグルメを教えてもらえました。感謝。
256,太宰府市観光案内所,4.1,こちらは太宰府駅の構内にある観光案内所です。スタッフの方々もとてもご親切で資料なども沢山置いてありました。
257,太宰府市観光案内所,4.1,この地域を観光するときにはまずこの案内所に行くのがおすすめです。パンフレットがたくさんあり役立つ情報を入手できます。
258,太宰府市観光案内所,4.1,太宰府天満宮に行った際に、少し立ち寄りました。ターミナルのところにあるので、立ち寄りやすい場所です。
259,太宰府市観光案内所,4.1,西鉄太宰府駅から五条まで行きたかったので聞いてみたら 祝日で混んでいたのに 丁寧にバス乗り場を教えてくれ時刻表を用意してくれた。ありがとうございました！
260,マリンワールド海の中道,3.2,初めて、イルカショーを体験しました。感動、そして心から笑えました。癒されたし大好きです。子供たちも飽きずに2時間イルカショー以外にも展示も工夫されていて、大人の私も夢中で見てました。周りの自然も癒されます。
261,マリンワールド海の中道,4.3,いわしの食事タイムがなかなかの見応えがあり面白かったです。お土産屋さんがちょっとごちゃつきますか総合的には好きな水族館の一つです。
262,マリンワールド海の中道,4.2,観光にはちょっと物足りない感じです。季節柄、とても暑くて、期待が大きかっただけに、残念でした。プールとかを利用する家族連れにはいいと思います。
263,マリンワールド海の中道,3.9,夜の水族館初めてでした。昼間はサンシャンプール夜はホテルの目の前にある水族館で楽しめました子供たちは大興奮でした
264,マリンワールド海の中道,4.2,イルカショーはパワーアップされてる様で迫力がありました。ラッコのショーはラッコの可愛さに癒されます。日本でラッコを見ることが出来るのは鳥羽水族館とマリンワールドだけです。ラッコのリロ君が元気でいてほしいです。夏休みの土曜日のショップのレジは異常な列ができてました。早めの整理をしていただけるといいと思います
265,マリンワールド海の中道,4.1,日本に３頭しかいないラッコをユックリ観察できますよ～いつの間にか日本のラッコは３頭に・・・寂しいですね～マリンワールドさんには可愛がって飼育を頑張っていただきたいものです！近くには海の中道公園もあり、子供は水族館で貴重な知識を、公園ではシッカリ体を動かし充実した一日が過ごせます～お勧めです(^^♪
266,マリンワールド海の中道,4.1,大人気のラッコちゃん目当てで行きましたがお食事タイム以外はほとんど誰もいなくてとっても見やすかったです。ラッコグッズも豊富でまた行きたいです。
267,マリンワールド海の中道,4.1,じゃらんnetで遊び体験済み子供が小さい時は年パスとか作って何度も来てたんですが、久しぶりに行っても楽しかったです。ショーもちょっとずつ変えてて、飽きさせない工夫がされてて良かったと思います。いちばん驚いたのはこういう施設では珍しくご飯がおいしかったことですね。福岡では有名なやりうどんが監修してることもあってうどんがめちゃウマでした。次行った時も食べたいと思います。
268,マリンワールド海の中道,4.1,じゃらんnetで遊び体験済みイルカとアシカ？のショーが凄かったです！タッチプールにタコがいました。子供と来た時に遊べるコーナーがもう少し多くあると助かります。小さい子を連れて来るとすぐ飽きられてもっと見たかったのにみれませんでした。
269,マリンワールド海の中道,4.1,イルカのショーや大水槽での餌やりなど見応えがありました。日曜日だったせいか少し早めに席が埋まってしまうのは注意です。
